epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4046,1.58736,3.53231,1.36103,0.00957,0.51309,0.04808,0.02063,1.54267,3.08516,1.33759,0.00012,0.00012,0.00012
2,106.429,1.4018,3.10121,1.2008,0.60509,0.24976,0.27872,0.1412,1.48091,2.14871,1.25862,0.00024505,0.00024505,0.00024505
3,136.138,1.3839,2.16983,1.13497,0.60578,0.54802,0.41641,0.2031,1.5016,2.93726,1.26699,0.000364952,0.000364952,0.000364952
4,176.981,1.42066,1.62562,1.15281,0.55632,0.63501,0.53194,0.25402,1.51824,2.55487,1.27308,0.000479706,0.000479706,0.000479706
5,223.48,1.41968,1.44275,1.15467,0.57972,0.67428,0.62924,0.31003,1.491,1.40073,1.26298,0.000589312,0.000589312,0.000589312
6,267.818,1.39194,1.31306,1.15869,0.60049,0.64357,0.59347,0.27303,1.51484,1.26698,1.29515,0.00069377,0.00069377,0.00069377
7,307.2,1.37322,1.21842,1.16972,0.64259,0.61139,0.62597,0.28741,1.60307,1.30243,1.37635,0.00079308,0.00079308,0.00079308
8,351.6,1.38465,1.16141,1.18103,0.64653,0.64093,0.65232,0.30259,1.60474,1.25298,1.36791,0.0008614,0.0008614,0.0008614
9,396.429,1.37428,1.07967,1.16257,0.74218,0.62087,0.71467,0.35562,1.5351,1.16831,1.31464,0.0008416,0.0008416,0.0008416
10,443.347,1.33466,0.99744,1.14997,0.6934,0.65791,0.70461,0.33483,1.56982,1.18966,1.36531,0.0008218,0.0008218,0.0008218
11,482.865,1.36962,0.9933,1.15439,0.75794,0.70173,0.75831,0.36564,1.52508,1.01429,1.28927,0.000802,0.000802,0.000802
12,530.016,1.3251,0.9167,1.13693,0.75877,0.72269,0.76539,0.36971,1.53216,0.98701,1.31329,0.0007822,0.0007822,0.0007822
13,568.879,1.34069,0.91251,1.15043,0.71965,0.67074,0.69843,0.3314,1.58551,1.06179,1.35608,0.0007624,0.0007624,0.0007624
14,616.353,1.32315,0.895,1.14666,0.69558,0.70729,0.71699,0.36954,1.55596,1.00096,1.34999,0.0007426,0.0007426,0.0007426
15,659.176,1.28497,0.84696,1.12428,0.71199,0.70035,0.72662,0.36611,1.54171,0.9865,1.32199,0.0007228,0.0007228,0.0007228
16,690.874,1.25812,0.8257,1.11528,0.73135,0.69078,0.73669,0.38295,1.53284,0.99341,1.33648,0.000703,0.000703,0.000703
17,731.069,1.24155,0.81584,1.1238,0.76161,0.71713,0.75937,0.38377,1.53628,0.92054,1.3412,0.0006832,0.0006832,0.0006832
18,767.129,1.23856,0.78815,1.11151,0.78413,0.70225,0.75563,0.37774,1.54059,0.98077,1.32349,0.0006634,0.0006634,0.0006634
19,808.924,1.23249,0.76717,1.10731,0.75272,0.70801,0.71882,0.36945,1.55674,1.04443,1.37279,0.0006436,0.0006436,0.0006436
20,852.185,1.22639,0.74914,1.08759,0.70543,0.7266,0.73007,0.36531,1.52222,1.05063,1.30219,0.0006238,0.0006238,0.0006238
21,880.859,1.23917,0.75312,1.10194,0.78392,0.69189,0.75175,0.39618,1.49537,0.95753,1.28443,0.000604,0.000604,0.000604
22,920.293,1.18492,0.72003,1.08338,0.7704,0.73181,0.76637,0.41008,1.49596,0.96229,1.28748,0.0005842,0.0005842,0.0005842
23,974.288,1.18898,0.70396,1.0805,0.72249,0.71726,0.74292,0.39253,1.48128,0.99061,1.26377,0.0005644,0.0005644,0.0005644
24,1016.66,1.17793,0.69161,1.08075,0.78505,0.66575,0.7482,0.3783,1.54257,1.0321,1.33261,0.0005446,0.0005446,0.0005446
25,1052.58,1.18499,0.70784,1.08486,0.67243,0.70911,0.72129,0.34773,1.59929,1.03104,1.38974,0.0005248,0.0005248,0.0005248
26,1097.01,1.15305,0.67709,1.0734,0.75893,0.68767,0.74752,0.37387,1.54658,0.9879,1.34923,0.000505,0.000505,0.000505
27,1128.15,1.15213,0.67138,1.07312,0.6661,0.73128,0.74561,0.36733,1.54596,1.02914,1.35397,0.0004852,0.0004852,0.0004852
28,1161.99,1.13743,0.64953,1.07111,0.71587,0.73185,0.75962,0.38475,1.52116,0.98743,1.32935,0.0004654,0.0004654,0.0004654
29,1196.32,1.12239,0.64366,1.05962,0.71204,0.76452,0.76609,0.40756,1.52689,0.94923,1.33202,0.0004456,0.0004456,0.0004456
30,1236.91,1.10883,0.62547,1.04873,0.69891,0.69415,0.74103,0.39282,1.52247,0.99901,1.33863,0.0004258,0.0004258,0.0004258
31,1273.64,1.10364,0.62231,1.06535,0.7875,0.72447,0.76677,0.40418,1.52971,0.93611,1.34549,0.000406,0.000406,0.000406
32,1311.22,1.09959,0.61855,1.04597,0.749,0.72979,0.76683,0.38233,1.56798,0.97608,1.3796,0.0003862,0.0003862,0.0003862
33,1343.51,1.07688,0.6077,1.04695,0.75646,0.72985,0.77761,0.41523,1.50915,0.94184,1.31075,0.0003664,0.0003664,0.0003664
34,1393.55,1.091,0.59944,1.04678,0.7441,0.76002,0.76083,0.38815,1.57511,0.97404,1.40239,0.0003466,0.0003466,0.0003466
35,1418.7,1.05667,0.58227,1.03495,0.8073,0.67451,0.75033,0.38888,1.52172,0.98278,1.33692,0.0003268,0.0003268,0.0003268
36,1458.4,1.05244,0.57703,1.02322,0.7333,0.72578,0.76019,0.3918,1.52784,0.98276,1.36183,0.000307,0.000307,0.000307
37,1490.54,1.04784,0.57877,1.03124,0.75057,0.74647,0.76559,0.39938,1.54595,0.95957,1.3794,0.0002872,0.0002872,0.0002872
38,1531.63,1.02619,0.56525,1.02388,0.73855,0.74275,0.74151,0.38141,1.57597,0.98414,1.3873,0.0002674,0.0002674,0.0002674
39,1569.97,1.02284,0.55716,1.01801,0.77055,0.74727,0.77345,0.39592,1.5554,0.96223,1.37503,0.0002476,0.0002476,0.0002476
40,1608.88,1.01031,0.54511,1.0128,0.75106,0.7487,0.76528,0.40238,1.54528,0.97093,1.36992,0.0002278,0.0002278,0.0002278
41,1649.77,0.9935,0.54498,1.01217,0.79828,0.72693,0.76709,0.38874,1.559,0.97229,1.40083,0.000208,0.000208,0.000208
42,1680.9,0.99888,0.54207,1.01982,0.75669,0.76042,0.77647,0.40766,1.52311,0.96817,1.34854,0.0001882,0.0001882,0.0001882
43,1727.46,0.97593,0.53118,1.01078,0.82606,0.70441,0.76735,0.40452,1.53332,0.98036,1.36899,0.0001684,0.0001684,0.0001684
44,1768.62,0.97116,0.52691,1.00371,0.79273,0.69242,0.75389,0.40418,1.53547,0.98598,1.37698,0.0001486,0.0001486,0.0001486
45,1798.22,0.9703,0.53002,1.00731,0.80688,0.72471,0.77896,0.41024,1.53646,0.99031,1.3695,0.0001288,0.0001288,0.0001288
46,1829.76,0.97322,0.49685,0.995,0.77625,0.71592,0.75581,0.39947,1.54928,1.01764,1.37175,0.000109,0.000109,0.000109
47,1854.39,0.94232,0.47028,0.98031,0.75747,0.76432,0.77081,0.40927,1.53539,0.95047,1.36859,8.92e-05,8.92e-05,8.92e-05
48,1872.58,0.92905,0.45565,0.97235,0.7715,0.74803,0.77019,0.40212,1.56318,0.95724,1.39707,6.94e-05,6.94e-05,6.94e-05
49,1893.4,0.9239,0.44931,0.97782,0.77127,0.74888,0.76555,0.40478,1.56689,0.9759,1.40281,4.96e-05,4.96e-05,4.96e-05
50,1917,0.91716,0.44697,0.97819,0.7684,0.75226,0.76365,0.40206,1.56327,0.98388,1.39974,2.98e-05,2.98e-05,2.98e-05
